Selection Name,Provider,Start Time,Course,Market Type,Price,Min Price,Max Price,Stake,Race Date
Brisk Symphony,aveplace,13:15,Doncaster,Win,1.0,1.0,1.0,1.0,2025-09-11
If I Could Dream,O18aveplace4,13:15,Doncaster,Place (4),1.0,1.0,1.0,1.0,2025-09-11
If I Could Dream,O18aveplace3,13:15,Doncaster,Win,1.0,1.0,1.0,1.0,2025-09-11
If I Could Dream,O18aveplace3,13:15,Doncaster,Place (3),1.0,1.0,1.0,1.0,2025-09-11
Concert,aveplace,13:15,Doncaster,Win,1.0,1.0,1.0,1.0,2025-09-11
Concert,18aveplace1,13:15,Doncaster,Place (4),1.0,1.0,1.0,1.0,2025-09-11
Concert,18aveplace4,13:15,Doncaster,Place (4),1.0,1.0,1.0,1.0,2025-09-11
Concert,18aveplace3,13:15,Doncaster,Place (3),1.0,1.0,1.0,1.0,2025-09-11
Concert,18aveplace2,13:15,Doncaster,Place (2),1.0,1.0,1.0,1.0,2025-09-11
Concert,18aveplace1,13:15,Doncaster,Win,1.0,1.0,1.0,1.0,2025-09-11
Gwen John,aveplace,13:15,Doncaster,Win,1.0,1.0,1.0,1.0,2025-09-11
Gwen John,18aveplace1,13:15,Doncaster,Place (4),1.0,1.0,1.0,1.0,2025-09-11
Gwen John,18aveplace4,13:15,Doncaster,Place (4),1.0,1.0,1.0,1.0,2025-09-11
Gwen John,18aveplace3,13:15,Doncaster,Place (3),1.0,1.0,1.0,1.0,2025-09-11
Gwen John,18aveplace2,13:15,Doncaster,Place (2),1.0,1.0,1.0,1.0,2025-09-11
Gwen John,18aveplace1,13:15,Doncaster,Win,1.0,1.0,1.0,1.0,2025-09-11
Rogue Temptation,aveplace,13:15,Doncaster,Win,1.0,1.0,1.0,1.0,2025-09-11
Rogue Temptation,18aveplace1,13:15,Doncaster,Place (4),1.0,1.0,1.0,1.0,2025-09-11
Isle of Fernandez,18aveplace3,13:15,Doncaster,Place (3),1.0,1.0,1.0,1.0,2025-09-11
